Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
Secrets,Waking Up (International Deluxe Version),OneRepublic,2009,224680,35,FALSE,soft pop,0.516,0.762,2,-6.224,1,0.0361,0.0734,0,0.116,0.382,148.018,4
Perfect,÷ (Deluxe),Ed Sheeran,3/3/17,263400,89,FALSE,soft pop,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
Shivers,=,Ed Sheeran,25/10/21,207853,82,FALSE,soft pop,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4
The Nights,The Days / Nights,Avicii,1/1/14,176658,84,FALSE,edm,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
Wake Me Up,TRUE,Avicii,16/9/13,247426,86,FALSE,edm,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
What Makes You Beautiful,Top Músicas de Amor,One Direction,8/12/23,198880,8,FALSE,,0.697,0.728,4,-4.4,1,0.0674,0.011,0,0.135,0.86,124.989,4
Tujhe Bhula Diya,Anjaana Anjaani,Vishal-Shekhar;Mohit Chauhan;Shekhar Ravjiani;Shruti Pathak,19/8/10,279429,72,FALSE,"bollywood,desi,hindi pop,sufi,gujarati garba,gujarati pop",0.644,0.423,11,-8.702,0,0.0324,0.464,0,0.11,0.509,131.903,4
Param Sundari,Mimi (Original Motion Picture Soundtrack),A.R. Rahman;Shreya Ghoshal,16/7/21,200218,67,FALSE,"tamil pop,kollywood,bollywood,sufi,hindi pop,desi,kannada pop,marathi pop,bangla pop",0.815,0.761,4,-7.162,0,0.144,0.192,0,0.0272,0.82,121.999,4
Back In Black,Back In Black,AC/DC,25/7/80,256000,85,FALSE,"rock,hard rock,classic rock,rock and roll",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4
"Holding out for a Hero - from ""Footloose""",Footloose (Original Motion Picture Soundtrack),Bonnie Tyler,12/10/84,350705,48,FALSE,,0.615,0.752,9,-11.653,0,0.0429,0.00903,0.00000162,0.0625,0.876,149.681,4
Poker Face,The Fame Monster (Deluxe Edition),Lady Gaga,5/11/09,237200,56,TRUE,"art pop,pop",0.851,0.806,4,-4.618,1,0.0787,0.119,0.00000172,0.121,0.774,119.001,4
